,K2_value,Initial_population_list,optimum_C_value
781,5.75,5500,0.1
782,6.0,5500,0.1
783,6.25,5500,0.1
784,6.5,5500,0.1
785,6.75,5500,0.0
786,7.0,5500,0.0
787,7.25,5500,0.0
788,7.5,5500,0.0
789,7.75,5500,0.0
790,8.0,5500,0.0
791,8.25,5500,0.0
792,8.5,5500,0.0
793,8.75,5500,0.0
794,9.0,5500,0.0
795,9.25,5500,0.0
796,9.5,5500,0.0
797,9.75,5500,0.0
798,0.5,5750,1.85
799,0.75,5750,1.2
800,1.0,5750,0.9
801,1.25,5750,0.7
802,1.5,5750,0.6
803,1.75,5750,0.5
804,2.0,5750,0.4
805,2.25,5750,0.3
806,2.5,5750,0.3
807,2.75,5750,0.3
808,3.0,5750,0.2
809,3.25,5750,0.2
810,3.5,5750,0.2
811,3.75,5750,0.2
812,4.0,5750,0.1
813,4.25,5750,0.1
814,4.5,5750,0.1
815,4.75,5750,0.1
816,5.0,5750,0.1
817,5.25,5750,0.1
818,5.5,5750,0.1
819,5.75,5750,0.1
820,6.0,5750,0.1
821,6.25,5750,0.1
822,6.5,5750,0.1
823,6.75,5750,0.05
824,7.0,5750,0.0
825,7.25,5750,0.0
826,7.5,5750,0.0
827,7.75,5750,0.0
828,8.0,5750,0.0
829,8.25,5750,0.0
830,8.5,5750,0.0
831,8.75,5750,0.0
832,9.0,5750,0.0
833,9.25,5750,0.0
834,9.5,5750,0.0
835,9.75,5750,0.0
836,0.5,6000,1.85
837,0.75,6000,1.2
838,1.0,6000,0.9
839,1.25,6000,0.7
840,1.5,6000,0.6
841,1.75,6000,0.5
842,2.0,6000,0.4
843,2.25,6000,0.3
844,2.5,6000,0.3
845,2.75,6000,0.3
846,3.0,6000,0.2
847,3.25,6000,0.2
848,3.5,6000,0.2
849,3.75,6000,0.2
850,4.0,6000,0.1
851,4.25,6000,0.1
852,4.5,6000,0.1
853,4.75,6000,0.1
854,5.0,6000,0.1
855,5.25,6000,0.1
856,5.5,6000,0.1
857,5.75,6000,0.1
858,6.0,6000,0.1
859,6.25,6000,0.1
860,6.5,6000,0.1
861,6.75,6000,0.0
862,7.0,6000,0.0
863,7.25,6000,0.0
864,7.5,6000,0.0
865,7.75,6000,0.0
866,8.0,6000,0.0
867,8.25,6000,0.0
868,8.5,6000,0.0
869,8.75,6000,0.0
870,9.0,6000,0.0
871,9.25,6000,0.0
872,9.5,6000,0.0
873,9.75,6000,0.0
874,0.5,6250,1.85
875,0.75,6250,1.2
876,1.0,6250,0.9
877,1.25,6250,0.7
878,1.5,6250,0.55
879,1.75,6250,0.5
880,2.0,6250,0.4
881,2.25,6250,0.3
882,2.5,6250,0.3
883,2.75,6250,0.3
884,3.0,6250,0.2
885,3.25,6250,0.2
886,3.5,6250,0.2
887,3.75,6250,0.2
888,4.0,6250,0.1
889,4.25,6250,0.1
890,4.5,6250,0.1
891,4.75,6250,0.1
892,5.0,6250,0.1
893,5.25,6250,0.1
894,5.5,6250,0.1
895,5.75,6250,0.1
896,6.0,6250,0.1
897,6.25,6250,0.1
898,6.5,6250,0.1
899,6.75,6250,0.05
900,7.0,6250,0.05
901,7.25,6250,0.0
902,7.5,6250,0.0
903,7.75,6250,0.0
904,8.0,6250,0.0
905,8.25,6250,0.0
906,8.5,6250,0.0
907,8.75,6250,0.0
908,9.0,6250,0.0
909,9.25,6250,0.0
910,9.5,6250,0.0
911,9.75,6250,0.0
912,0.5,6500,1.85
913,0.75,6500,1.2
914,1.0,6500,0.9
915,1.25,6500,0.7
916,1.5,6500,0.6
917,1.75,6500,0.5
918,2.0,6500,0.4
919,2.25,6500,0.3
920,2.5,6500,0.3
921,2.75,6500,0.3
922,3.0,6500,0.2
923,3.25,6500,0.2
924,3.5,6500,0.2
925,3.75,6500,0.2
926,4.0,6500,0.1
927,4.25,6500,0.1
928,4.5,6500,0.1
929,4.75,6500,0.1
930,5.0,6500,0.1
931,5.25,6500,0.1
932,5.5,6500,0.1
933,5.75,6500,0.1
934,6.0,6500,0.1
935,6.25,6500,0.1
936,6.5,6500,0.1
937,6.75,6500,0.05
938,7.0,6500,0.05
939,7.25,6500,0.0
940,7.5,6500,0.0
941,7.75,6500,0.0
942,8.0,6500,0.0
943,8.25,6500,0.0
944,8.5,6500,0.0
945,8.75,6500,0.0
946,9.0,6500,0.0
947,9.25,6500,0.0
948,9.5,6500,0.0
949,9.75,6500,0.0
950,0.5,6750,1.85
951,0.75,6750,1.2
952,1.0,6750,0.9
953,1.25,6750,0.7
954,1.5,6750,0.6
955,1.75,6750,0.5
956,2.0,6750,0.4
957,2.25,6750,0.3
958,2.5,6750,0.3
